job_id,title,description,proposals,payment_verified,client_spending,client_rating,posted_time_seconds,job_type,budget,hourly_rate,quality_label,labeled_at,source
sample_spam_1,Work from Home - Earn $5000/week!!! Easy Money!!!,Amazing opportunity to work from home and earn big money!!! No experience needed. Contact me at 555-123-4567 or email: easymoney@gmail.com for more details. Must call now!!!,25,False,1000,3.0,3600,fixed,500,15,spam,2026-01-12T23:56:48.086006,sample_dataset
sample_spam_2,URGENT: Data Entry - $50/hour!!!,Need someone immediately. Call 555-987-6543. Send resume to hiring@fakecompany.com. Payment guaranteed! Wire transfer available.,25,False,1000,3.0,3600,fixed,500,15,spam,2026-01-12T23:56:48.086103,sample_dataset
sample_spam_3,Make Money Fast - No Skills Required,Earn thousands per week from your phone!!! Text 555-444-3333 or whatsapp +1-555-444-3333. Limited spots available. Act now!!!,25,False,1000,3.0,3600,fixed,500,15,spam,2026-01-12T23:56:48.086114,sample_dataset
sample_spam_4,$$$ URGENT HIRING $$$  - Work From Anywhere,Need 10 people ASAP!!! Email: jobs123@yahoo.com or call 555-222-1111. Flexible hours!!! Earn $3000-$10000 monthly!!!,25,False,1000,3.0,3600,fixed,500,15,spam,2026-01-12T23:56:48.086121,sample_dataset
sample_spam_5,Easy Online Job - Start Today!!!,No interview needed. Just send your info to contact@easyjobs.net or text 555-777-8888. Get paid daily via PayPal or Western Union.,25,False,1000,3.0,3600,fixed,500,15,spam,2026-01-12T23:56:48.086128,sample_dataset
sample_spam_6,Remote Assistant needed!!! HIGH PAY!!!,"Must have phone and email. Contact sarah.hiring@gmail.com or call 555-333-2222. Easy work, big money!!! Start ASAP!!!",25,False,1000,3.0,3600,fixed,500,15,spam,2026-01-12T23:56:48.086134,sample_dataset
sample_spam_7,MAKE $10000 IN 30 DAYS - GUARANTEED,Revolutionary business opportunity. Call now: 555-666-9999 or email success@fastmoney.com. Limited time offer!!!,25,False,1000,3.0,3600,fixed,500,15,spam,2026-01-12T23:56:48.086140,sample_dataset
sample_spam_8,Work 2 Hours Daily - Earn $5000 Monthly,Perfect for stay-at-home parents!!! Email yourname@email.com to apply. Phone interviews at 555-888-7777.,25,False,1000,3.0,3600,fixed,500,15,spam,2026-01-12T23:56:48.086146,sample_dataset
sample_poor_1,need help with stuff,looking for someone to help me with various tasks. pay is negotiable. contact for more info.,25,False,1000,3.0,3600,fixed,500,15,poor,2026-01-12T23:56:48.086157,sample_dataset
sample_poor_2,Helper Needed,Need someone to help with project. Budget: $10. Must start immediately.,25,False,1000,3.0,3600,fixed,500,15,poor,2026-01-12T23:56:48.086169,sample_dataset
